"id","created_at","name","has_test","alternate_url"
"104380318,"2025-01-13T07:42:15+0300,"-",false,"https://hh.ru/vacancy/104380318"
"114014683,"2025-01-13T10:27:29+0300,"-",false,"https://hh.ru/vacancy/114014683"
"115494412,"2025-01-14T10:52:22+0300,"-",false,"https://hh.ru/vacancy/115494412"
"115503897,"2025-01-14T12:02:47+0300,"Junior",false,"https://hh.ru/vacancy/115503897"
"115753285,"2025-01-17T10:32:27+0300,"-",false,"https://hh.ru/vacancy/115753285"
"116097715,"2025-01-22T15:39:05+0300,"-",false,"https://hh.ru/vacancy/116097715"
"116108117,"2025-01-22T17:57:05+0300,"-",false,"https://hh.ru/vacancy/116108117"
"109215484,"2025-01-23T13:29:15+0300,"-",false,"https://hh.ru/vacancy/109215484"
"116157290,"2025-01-23T14:26:30+0300,"-",false,"https://hh.ru/vacancy/116157290"
"116229012,"2025-01-24T15:58:19+0300,"-",false,"https://hh.ru/vacancy/116229012"
"116463505,"2025-01-28T15:42:22+0300,"-",false,"https://hh.ru/vacancy/116463505"
"116545038,"2025-01-30T10:49:02+0300,"Senior",false,"https://hh.ru/vacancy/116545038"
"116803290,"2025-02-05T14:38:24+0300,"-",false,"https://hh.ru/vacancy/116803290"
"116909382,"2025-02-07T17:14:59+0300,"-",false,"https://hh.ru/vacancy/116909382"
"116911195,"2025-02-07T18:07:26+0300,"-",false,"https://hh.ru/vacancy/116911195"
"105092646,"2025-02-10T07:49:00+0300,"-",false,"https://hh.ru/vacancy/105092646"
"115383081,"2025-02-10T08:41:41+0300,"-",false,"https://hh.ru/vacancy/115383081"
"117031485,"2025-02-10T13:06:12+0300,"-",false,"https://hh.ru/vacancy/117031485"
"117048326,"2025-02-10T17:15:09+0300,"-",false,"https://hh.ru/vacancy/117048326"
"116526780,"2025-02-10T17:55:19+0300,"-",false,"https://hh.ru/vacancy/116526780"
